Common_Name,Scientific_Name,Link
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis1.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis2.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis3.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis4.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis5.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis6.jpg
horse_mushroom,agaricus_arvensis,https://www.mushroom.world/data/fungi/Agaricusarvensis7.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus1.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus2.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus3.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus4.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus5.jpg
the_prince,agaricus_augustus,https://www.mushroom.world/data/fungi/Agaricusaugustus6.jpg
meadow_mushroom,agaricus_campestris,https://www.mushroom.world/data/fungi/Agaricuscampestris1.jpg
meadow_mushroom,agaricus_campestris,https://www.mushroom.world/data/fungi/Agaricuscampestris2.jpg
meadow_mushroom,agaricus_campestris,https://www.mushroom.world/data/fungi/Agaricuscampestris3.jpg
meadow_mushroom,agaricus_campestris,https://www.mushroom.world/data/fungi/Agaricuscampestris4.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola1.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola2.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola3.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola4.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola5.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola6.jpg
wood_mushroom,agaricus_sylvicola,https://www.mushroom.world/data/fungi/Agaricussylvicola7.jpg
common_fieldcap,agrocybe_pediades,https://www.mushroom.world/data/fungi/Agrocybepediades1.jpg
common_fieldcap,agrocybe_pediades,https://www.mushroom.world/data/fungi/Agrocybepediades2.jpg
common_fieldcap,agrocybe_pediades,https://www.mushroom.world/data/fungi/Agrocybepediades3.jpg
common_fieldcap,agrocybe_pediades,https://www.mushroom.world/data/fungi/Agrocybepediades4.jpg
spring_fieldcap,agrocybe_praecox,https://www.mushroom.world/data/fungi/Agrocybepraecox1.jpg
spring_fieldcap,agrocybe_praecox,https://www.mushroom.world/data/fungi/Agrocybepraecox2.jpg
spring_fieldcap,agrocybe_praecox,https://www.mushroom.world/data/fungi/Agrocybepraecox3.jpg
spring_fieldcap,agrocybe_praecox,https://www.mushroom.world/data/fungi/Agrocybepraecox4.jpg
spring_fieldcap,agrocybe_praecox,https://www.mushroom.world/data/fungi/Agrocybepraecox5.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens1.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens2.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens3.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens4.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens5.jpg
fused_polypore,albatrellus_confluens,https://www.mushroom.world/data/fungi/Albatrellusconfluens6.jpg
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus1.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus2.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus3.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus4.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus5.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus6.JPG
sheep_polypore,albatrellus_ovinus,https://www.mushroom.world/data/fungi/Albatrellusovinus7.JPG
orange_peel_fungus,aleuria_aurantia,https://www.mushroom.world/data/fungi/Aleuriaaurantia1.jpg
orange_peel_fungus,aleuria_aurantia,https://www.mushroom.world/data/fungi/Aleuriaaurantia2.jpg
orange_peel_fungus,aleuria_aurantia,https://www.mushroom.world/data/fungi/Aleuriaaurantia3.jpg
orange_peel_fungus,aleuria_aurantia,https://www.mushroom.world/data/fungi/Aleuriaaurantia4.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae1.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae2.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae3.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae4.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae5.jpg
banded_amanita,amanita_battarrae,https://www.mushroom.world/data/fungi/Amanitabattarrae6.jpg
eastern_destroying_angel,amanita_bisporigera,https://www.mushroom.world/data/fungi/Amanitabisporigera1.jpg
eastern_destroying_angel,amanita_bisporigera,https://www.mushroom.world/data/fungi/Amanitabisporigera2.jpg
eastern_destroying_angel,amanita_bisporigera,https://www.mushroom.world/data/fungi/Amanitabisporigera3.jpg
solitary_lepidella,amanita_cokeri,https://www.mushroom.world/data/fungi/Amanitacokeri1.jpg
solitary_lepidella,amanita_cokeri,https://www.mushroom.world/data/fungi/Amanitacokeri2.jpg
solitary_lepidella,amanita_cokeri,https://www.mushroom.world/data/fungi/Amanitacokeri3.jpg
solitary_lepidella,amanita_cokeri,https://www.mushroom.world/data/fungi/Amanitacokeri4.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva1.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva2.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva3.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva4.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva5.jpg
tawny_grisette,amanita_fulva,https://www.mushroom.world/data/fungi/Amanitafulva6.jpg
jackson's_slender_amanita,amanita_jacksonii,https://www.mushroom.world/data/fungi/Amanitajacksonii1.jpg
jackson's_slender_amanita,amanita_jacksonii,https://www.mushroom.world/data/fungi/Amanitajacksonii2.jpg
jackson's_slender_amanita,amanita_jacksonii,https://www.mushroom.world/data/fungi/Amanitajacksonii3.jpg
jackson's_slender_amanita,amanita_jacksonii,https://www.mushroom.world/data/fungi/Amanitajacksonii4.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria1.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria2.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria3.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria4.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria5.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria6.jpg
fly_amanita,amanita_muscaria,https://www.mushroom.world/data/fungi/Amanitamuscaria7.jpg
panther_amanita,amanita_pantherina,https://www.mushroom.world/data/fungi/Amanitapantherina1.jpg
panther_amanita,amanita_pantherina,https://www.mushroom.world/data/fungi/Amanitapantherina2.jpg
panther_amanita,amanita_pantherina,https://www.mushroom.world/data/fungi/Amanitapantherina3.jpg
death_cap_amanita,amanita_phalloides,https://www.mushroom.world/data/fungi/Amanitaphalloides1.JPG
death_cap_amanita,amanita_phalloides,https://www.mushroom.world/data/fungi/Amanitaphalloides2.jpg
death_cap_amanita,amanita_phalloides,https://www.mushroom.world/data/fungi/Amanitaphalloides3.jpg
death_cap_amanita,amanita_phalloides,https://www.mushroom.world/data/fungi/Amanitaphalloides4.jpg
death_cap_amanita,amanita_phalloides,https://www.mushroom.world/data/fungi/Amanitaphalloides5.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria1.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria2.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria3.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria4.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria5.jpg
grey_veiled_amanita,amanita_porphyria,https://www.mushroom.world/data/fungi/Amanitaporphyria6.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis1.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis2.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis3.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis4.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis5.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis6.jpg
royal_fly_agaric,amanita_regalis,https://www.mushroom.world/data/fungi/Amanitaregalis7.jpg
blushing_amanita,amanita_rubescens,https://www.mushroom.world/data/fungi/Amanitarubescens1.jpg
blushing_amanita,amanita_rubescens,https://www.mushroom.world/data/fungi/Amanitarubescens2.jpg
blushing_amanita,amanita_rubescens,https://www.mushroom.world/data/fungi/Amanitarubescens3.jpg
blushing_amanita,amanita_rubescens,https://www.mushroom.world/data/fungi/Amanitarubescens4.jpg
